日付,クリック数,表示回数,平均クリック単価,費用
2026年2月12日(木),0,0,￥0,￥0
2026年2月13日(金),13,"2,964",￥7,￥86
2026年2月14日(土),27,"7,255",￥36,￥971
2026年2月15日(日),18,963,￥56,"￥1,015"
2026年2月16日(月),15,"2,575",￥28,￥427
